[Timex Trainer Data File]
[session data]
version=1.2_mm/dd/yyyy
Sessiondate=1/6/2005 12:03:12
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=3.75
duration=1937
description=Sample workout - run around Timex neighborhood^^   speed/distance/position/altitude
sessionType=5
maxHR=0
maxSpeed=9.8
avgHR=0
avgSpeed=6.99
fromDataRecorder=True
TimeZone1=0
TimeZone2=0
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag,longitude,latitude,altitude,acqstatus,trueheading,magheading
"406.98","0","8.4","0.887","2","-73.14013","41.51585","618","3","20","34"
"410.55","0","8.4","0.894","2","-73.14013","41.51585","615","3","20","34"
"414.12","0","8.4","0.901","2","-73.14013","41.51585","612","3","20","34"
"417.69","0","8.3","0.909","2","-73.13995","41.51616","610","3","14","28"
"421.26","0","8.6","0.917","2","-73.13993","41.51628","608","3","16","30"
"424.83","0","7.1","0.925","2","-73.13989","41.51637","607","3","20","34"
"428.4","0","8.7","0.933","2","-73.13981","41.51648","594","3","16","30"
"431.97","0","9.2","0.942","2","-73.13972","41.51656","581","3","18","32"
"435.54","0","6.6","0.949","2","-73.13961","41.51667","577","3","22","36"
"439.11","0","6.9","0.957","2","-73.13955","41.51675","579","3","24","38"
"442.68","0","6.5","0.963","2","-73.13955","41.51675","570","3","24","38"
"446.25","0","6","0.97","2","-73.13937","41.5169","562","3","16","30"
"449.82","0","7.2","0.977","2","-73.13934","41.51699","563","3","18","32"
"453.39","0","8.1","0.987","2","-73.13927","41.51714","566","3","18","32"
"456.96","0","8.1","0.994","2","-73.13927","41.51714","566","3","18","32"
"460.53","0","8.2","1.001","2","-73.13927","41.51714","567","3","18","32"
"464.1","0","8.3","1.009","2","-73.1391","41.5174","568","3","16","30"
"467.67","0","7.9","1.015","2","-73.13902","41.51748","567","3","12","26"
"471.24","0","8.3","1.023","2","-73.13892","41.51759","574","3","12","26"
"474.81","0","8.8","1.031","2","-73.13892","41.51759","395","3","12","26"
"478.38","0","9.3","1.04","2","-73.13892","41.51759","473","3","12","26"
"481.95","0","9.8","1.049","2","-73.13871","41.51789","551","3","14","28"
"485.52","0","8.3","1.054","2","-73.13871","41.51789","543","3","14","28"
"489.09","0","6.7","1.06","2","-73.13854","41.518","535","3","44","58"
"492.66","0","7","1.066","2","-73.13847","41.51809","536","3","52","66"
"496.23","0","7","1.074","2","-73.13833","41.51817","544","3","48","62"
"499.8","0","6.4","1.083","2","-73.1382","41.51822","549","3","48","62"
"503.37","0","6.7","1.089","2","-73.13807","41.51826","561","3","58","72"
"506.94","0","6.4","1.095","2","-73.13807","41.51826","564","3","58","72"
"510.51","0","6","1.101","2","-73.13792","41.51839","568","3","50","64"
"514.08","0","6.6","1.109","2","-73.13781","41.51843","575","3","50","64"
"517.65","0","7.2","1.117","2","-73.13766","41.51849","572","3","44","58"
"521.22","0","6.8","1.122","2","-73.13766","41.51849","574","3","44","58"
"524.79","0","6.4","1.128","2","-73.13749","41.51858","576","3","50","64"
"528.36","0","6.7","1.135","2","-73.13749","41.51858","584","3","50","64"
"531.93","0","7","1.143","2","-73.1373","41.51873","593","3","44","58"
"535.5","0","6.9","1.148","2","-73.1373","41.51873","597","3","44","58"
"539.07","0","6.8","1.154","2","-73.1371","41.51879","602","3","48","62"
"542.64","0","6.5","1.16","2","-73.13697","41.51884","598","3","48","62"
"546.21","0","7.1","1.168","2","-73.13686","41.51892","604","3","46","62"
"549.78","0","6.9","1.175","2","-73.13678","41.51901","611","3","42","56"
"553.35","0","6.9","1.181","2","-73.13678","41.51901","611","3","42","56"
"556.92","0","6.9","1.187","2","-73.13678","41.51901","611","3","42","56"
"560.49","0","6.8","1.194","2","-73.13678","41.51901","611","3","42","56"
"564.06","0","6.7","1.201","2","-73.13646","41.51925","612","3","34","48"
"567.63","0","6.9","1.208","2","-73.13646","41.51925","616","3","34","48"
"571.2","0","7.1","1.215","2","-73.13646","41.51925","620","3","34","48"
"574.77","0","7.3","1.222","2","-73.13646","41.51925","624","3","34","48"
"578.34","0","7.5","1.229","2","-73.13646","41.51925","628","3","34","48"
"581.91","0","7.7","1.236","2","-73.13646","41.51925","633","3","34","48"
"585.48","0","7.9","1.244","2","-73.13605","41.5198","638","3","6","22"
"589.05","0","6.5","1.251","2","-73.13601","41.51989","639","3","8","22"
"592.62","0","6.5","1.257","2","-73.13601","41.51989","643","3","8","22"
"596.19","0","6.5","1.263","2","-73.13601","41.51989","647","3","8","22"
"599.76","0","6.5","1.269","2","-73.13601","41.51989","651","3","8","22"
"603.33","0","6.5","1.276","2","-73.13601","41.51989","656","3","8","22"
"606.9","0","6.5","1.283","2","-73.13601","41.51989","661","3","8","22"
"610.47","0","6.5","1.29","2","-73.13601","41.51989","666","3","8","22"
"614.04","0","6.5","1.297","2","-73.13588","41.52053","671","3","2","16"
"617.61","0","6.5","1.303","2","-73.13588","41.52053","677","3","2","16"
"621.18","0","6.4","1.309","2","-73.13581","41.5207","684","3","0","16"
"624.75","0","6","1.315","2","-73.13581","41.52079","691","3","0","14"
"628.32","0","7","1.323","2","-73.13583","41.5209","693","3","358","12"
"631.89","0","7","1.33","2","-73.13583","41.5209","697","3","358","12"
"635.46","0","7","1.337","2","-73.13583","41.5209","701","3","358","12"
"639.03","0","7","1.344","2","-73.13583","41.5209","705","3","358","12"
"642.6","0","7","1.351","2","-73.13583","41.5209","710","3","358","12"
"646.17","0","7","1.358","2","-73.13583","41.5209","715","3","358","12"
"649.74","0","7","1.365","2","-73.13583","41.5209","720","3","358","12"
"653.31","0","7","1.373","2","-73.13583","41.5209","725","3","358","12"
"656.88","0","7","1.381","2","-73.13583","41.5209","730","3","358","12"
"660.45","0","6.9","1.389","2","-73.13627","41.5216","735","3","298","312"
"664.02","0","7.2","1.395","2","-73.13635","41.52165","738","3","300","314"
"667.59","0","7.2","1.4","2","-73.13635","41.52165","733","3","300","314"
"671.16","0","7.1","1.405","2","-73.13654","41.52165","729","3","292","306"
"674.73","0","7.1","1.412","2","-73.13654","41.52165","730","3","292","306"
"678.3","0","7.1","1.419","2","-73.13654","41.52165","732","3","292","306"
"681.87","0","7.1","1.426","2","-73.13654","41.52165","734","3","292","306"
"685.44","0","7.1","1.433","2","-73.13654","41.52165","736","3","292","306"
"689.01","0","7.1","1.44","2","-73.13654","41.52165","738","3","292","306"
"692.58","0","7.1","1.448","2","-73.13725","41.52188","740","3","294","308"
"696.15","0","6.9","1.453","2","-73.13725","41.52188","741","3","294","308"
"699.72","0","6.7","1.458","2","-73.13725","41.52188","742","3","294","308"
"703.29","0","6.5","1.464","2","-73.13751","41.52201","744","3","302","316"
"706.86","0","6","1.47","2","-73.13751","41.52201","747","3","302","316"
"710.43","0","5.5","1.477","2","-73.1377","41.52212","751","3","302","316"
"714","0","5.7","1.482","2","-73.1377","41.52212","750","3","302","316"
"717.57","0","5.9","1.488","2","-73.13786","41.52223","749","3","306","320"
"721.14","0","4.9","1.493","2","-73.13794","41.52225","751","3","304","318"
"724.71","0","5.9","1.499","2","-73.13802","41.52231","757","3","304","318"
"728.28","0","6.7","1.507","2","-73.13811","41.52242","761","3","314","328"
"731.85","0","6.8","1.514","2","-73.13818","41.52248","765","3","316","330"
"735.42","0","6.9","1.521","2","-73.13826","41.52259","770","3","312","326"
"738.99","0","7.1","1.528","2","-73.13834","41.52266","768","3","310","324"
"742.56","0","7.5","1.536","2","-73.13847","41.52272","766","3","310","324"
"746.13","0","6.7","1.542","2","-73.13854","41.52276","769","3","320","334"
"749.7","0","7.2","1.548","2","-73.13857","41.52287","771","3","340","354"
"753.27","0","5.8","1.553","2","-73.13857","41.52296","772","3","348","2"
"756.84","0","6.8","1.56","2","-73.13857","41.52304","770","3","344","358"
"760.41","0","6.4","1.566","2","-73.1386","41.52313","774","3","336","350"
"763.98","0","5.4","1.572","2","-73.13865","41.52319","777","3","336","350"
"767.55","0","5.9","1.579","2","-73.13873","41.5233","786","3","334","348"
"771.12","0","5.5","1.585","2","-73.13873","41.5233","794","3","334","348"
"774.69","0","5.1","1.592","2","-73.13882","41.52349","803","3","324","338"
"778.26","0","6.8","1.597","2","-73.13882","41.52356","805","3","332","346"
"781.83","0","5.9","1.602","2","-73.13886","41.52362","806","3","334","348"
"785.4","0","7.9","1.611","2","-73.13892","41.52373","814","3","340","354"
"788.97","0","7","1.62","2","-73.13897","41.52383","823","3","334","348"
"792.54","0","6.3","1.627","2","-73.13899","41.52396","820","3","330","344"
"796.11","0","5.9","1.632","2","-73.13902","41.52401","814","3","334","348"
"799.68","0","7.2","1.64","2","-73.13905","41.52414","812","3","334","348"
"803.25","0","7.3","1.649","2","-73.1391","41.52427","813","3","338","352"
"806.82","0","8.2","1.658","2","-73.13914","41.52437","815","3","338","352"
"810.39","0","7","1.664","2","-73.13921","41.52448","802","3","336","350"
"813.96","0","6.1","1.67","2","-73.13923","41.52454","797","3","338","352"
"817.53","0","6.4","1.676","2","-73.13924","41.52465","811","3","336","350"
"821.1","0","5.9","1.684","2","-73.13927","41.52476","829","3","340","354"
"824.67","0","7.3","1.693","2","-73.13934","41.52486","835","3","342","358"
"828.24","0","8.3","1.701","2","-73.13942","41.52499","833","3","340","354"
"831.81","0","7.6","1.708","2","-73.1395","41.52506","824","3","340","354"
"835.38","0","6.7","1.715","2","-73.13955","41.52517","817","3","340","354"
"838.95","0","7.7","1.724","2","-73.13955","41.52527","810","3","342","356"
"842.52","0","7.4","1.73","2","-73.13959","41.52536","805","3","342","358"
"846.09","0","8.3","1.738","2","-73.13963","41.52544","802","3","338","352"
"849.66","0","8.5","1.745","2","-73.1397","41.52555","803","3","340","354"
"853.23","0","8","1.753","2","-73.13976","41.52568","808","3","334","348"
"856.8","0","7.8","1.762","2","-73.13981","41.52579","810","3","336","350"
"860.37","0","7","1.769","2","-73.13982","41.52589","812","3","330","344"
"863.94","0","7.8","1.778","2","-73.13987","41.526","808","3","334","348"
"867.51","0","7","1.786","2","-73.14","41.52609","813","3","332","346"
"871.08","0","6.9","1.794","2","-73.14006","41.52618","817","3","332","346"
"874.65","0","6.9","1.794","2","-73.14006","41.52618","817","3","332","346"
"878.22","0","7.1","1.811","2","-73.14017","41.52643","817","3","328","342"
"881.79","0","7","1.817","2","-73.14024","41.52647","809","3","328","342"
"885.36","0","7.1","1.823","2","-73.14034","41.52654","802","3","324","338"
"888.93","0","7.2","1.83","2","-73.14039","41.52663","801","3","324","338"
"892.5","0","7.1","1.839","2","-73.14047","41.52675","805","3","328","342"
"896.07","0","7.5","1.848","2","-73.14056","41.52684","805","3","328","342"
"899.64","0","7.1","1.855","2","-73.14064","41.52692","802","3","326","340"
"903.21","0","6.8","1.86","2","-73.14073","41.52701","800","3","326","340"
"906.78","0","7.1","1.866","2","-73.14077","41.52705","798","3","324","338"
"910.35","0","7.9","1.874","2","-73.14085","41.52716","800","3","326","340"
"913.92","0","6.9","1.881","2","-73.14092","41.52725","805","3","328","342"
"917.49","0","5.8","1.888","2","-73.14098","41.52733","808","3","326","342"
"921.06","0","6.6","1.894","2","-73.14105","41.5274","813","3","320","334"
"924.63","0","6.7","1.9","2","-73.14111","41.52748","817","3","326","340"
"928.2","0","6.7","1.907","2","-73.14118","41.52757","821","3","324","338"
"931.77","0","6.5","1.913","2","-73.14124","41.52763","822","3","320","334"
"935.34","0","6.4","1.92","2","-73.14135","41.52772","825","3","318","332"
"938.91","0","4.2","1.924","2","-73.14142","41.52774","826","3","312","326"
"942.48","0","3.5","1.929","2","-73.1415","41.52778","825","3","308","322"
"946.05","0","4","1.932","2","-73.14154","41.52781","830","3","306","320"
"949.62","0","4","1.937","2","-73.14159","41.52787","838","3","310","324"
"953.19","0","4","1.941","2","-73.14165","41.52794","844","3","316","330"
"956.76","0","3.7","1.944","2","-73.14169","41.52795","850","3","310","324"
"960.33","0","6.6","1.949","2","-73.14174","41.52802","856","3","326","340"
"963.9","0","7.3","1.956","2","-73.14178","41.52808","861","3","322","336"
"967.47","0","8.1","1.964","2","-73.14191","41.52819","869","3","316","332"
"971.04","0","7.2","1.971","2","-73.142","41.52821","868","3","308","324"
"974.61","0","7.1","1.978","2","-73.14214","41.52826","857","3","304","318"
"978.18","0","7","1.984","2","-73.14227","41.52828","856","3","296","310"
"981.75","0","6.8","1.991","2","-73.14238","41.52832","859","3","292","306"
"985.32","0","6.8","1.998","2","-73.14251","41.52834","872","3","284","298"
"988.89","0","7","2.004","2","-73.14262","41.52836","870","3","286","300"
"992.46","0","6.9","2.011","2","-73.14277","41.52836","865","3","280","296"
"996.03","0","6.3","2.018","2","-73.14288","41.52836","866","3","278","292"
"999.6","0","6.8","2.025","2","-73.14303","41.52839","862","3","280","294"
"1003.17","0","6.5","2.03","2","-73.14314","41.52839","860","3","272","286"
"1006.74","0","6.9","2.036","2","-73.14324","41.52841","857","3","270","284"
"1010.31","0","7.2","2.045","2","-73.14341","41.52843","869","3","274","288"
"1013.88","0","7.4","2.053","2","-73.14354","41.52845","876","3","276","290"
"1017.45","0","7.1","2.06","2","-73.14369","41.52845","875","3","270","284"
"1021.02","0","6.8","2.067","2","-73.1438","41.52843","872","3","264","278"
"1024.59","0","6.1","2.072","2","-73.14393","41.52843","855","3","264","278"
"1028.16","0","4.3","2.076","2","-73.14404","41.52841","852","3","258","272"
"1031.73","0","4.4","2.081","2","-73.14412","41.52841","859","3","260","274"
"1035.3","0","4.6","2.086","2","-73.14423","41.52836","864","3","252","266"
"1038.87","0","7","2.093","2","-73.14431","41.52834","867","3","260","274"
"1042.44","0","7.2","2.098","2","-73.14442","41.52832","872","3","260","274"
"1046.01","0","7","2.105","2","-73.14452","41.5283","868","3","258","272"
"1049.58","0","6.6","2.112","2","-73.14465","41.52823","853","3","248","262"
"1053.15","0","6.9","2.119","2","-73.14476","41.52819","849","3","246","260"
"1056.72","0","6.4","2.125","2","-73.14489","41.52817","851","3","250","264"
"1060.29","0","7.2","2.132","2","-73.14504","41.52813","851","3","246","260"
"1063.86","0","6.9","2.14","2","-73.14513","41.52808","850","3","242","258"
"1067.43","0","6.9","2.147","2","-73.14523","41.528","844","3","240","254"
"1071","0","7.1","2.154","2","-73.14534","41.52795","846","3","234","248"
"1074.57","0","6.8","2.16","2","-73.14545","41.52789","851","3","228","242"
"1078.14","0","6.6","2.166","2","-73.14555","41.52783","845","3","232","246"
"1081.71","0","6.7","2.174","2","-73.14565","41.52776","847","3","228","242"
"1085.28","0","6.7","2.182","2","-73.14575","41.52768","843","3","224","238"
"1088.85","0","7","2.188","2","-73.14581","41.52761","841","3","228","244"
"1092.42","0","6.6","2.194","2","-73.14588","41.52753","840","3","224","238"
"1095.99","0","7.3","2.2","2","-73.14592","41.52746","844","3","222","238"
"1099.56","0","6.6","2.207","2","-73.14603","41.5274","844","3","228","242"
"1103.13","0","7.2","2.214","2","-73.14618","41.52733","853","3","230","244"
"1106.7","0","7.9","2.221","2","-73.14626","41.52729","860","3","230","244"
"1110.27","0","7.9","2.229","2","-73.14637","41.5272","864","3","224","238"
"1113.84","0","8.1","2.239","2","-73.14644","41.5271","854","3","222","236"
"1117.41","0","7.7","2.248","2","-73.14652","41.52697","848","3","224","238"
"1120.98","0","7.8","2.255","2","-73.14658","41.52688","849","3","224","238"
"1124.55","0","7.2","2.26","2","-73.14669","41.52686","860","3","232","246"
"1128.12","0","7.5","2.265","2","-73.14678","41.52684","871","3","234","250"
"1131.69","0","8.1","2.274","2","-73.14691","41.52675","867","3","232","246"
"1135.26","0","7.5","2.284","2","-73.14703","41.52663","858","3","230","244"
"1138.83","0","7.4","2.291","2","-73.14713","41.52656","856","3","230","244"
"1142.4","0","7.9","2.298","2","-73.14723","41.5265","859","3","228","242"
"1145.97","0","7.4","2.304","2","-73.14732","41.52645","856","3","232","246"
"1149.54","0","7.9","2.311","2","-73.14742","41.52639","854","3","240","254"
"1153.11","0","8.4","2.317","2","-73.14751","41.52637","862","3","244","258"
