[Timex Trainer Data File]
[session data]
version=1.2_mm/dd/yyyy
Sessiondate=1/7/2005 12:00:43
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=3.999
duration=2677
description=Sample workout - a run near Timex building^^speed/distance/position/altitude PLUS Heart Rate
sessionType=20
maxHR=192
maxSpeed=7.8
avgHR=169
avgSpeed=5.4
fromDataRecorder=True
TimeZone1=60
TimeZone2=120
TimeZone3=60
TimeZone4=240
TimeZone5=2160

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag,longitude,latitude,altitude,acqstatus,trueheading,magheading
"324","174","0","0","0","0","0","0","0","0","0"
"326","174","0","0","0","0","0","0","0","0","0"
"328","174","0","0","0","0","0","0","0","0","0"
"330","174","0","0","0","0","0","0","0","0","0"
"332","174","0","0","0","0","0","0","0","0","0"
"334","174","0","0","0","0","0","0","0","0","0"
"336","173","0","0","0","0","0","0","0","0","0"
"338","174","0","0","0","0","0","0","0","0","0"
"340","174","0","0","0","0","0","0","0","0","0"
"342","174","0","0","0","0","0","0","0","0","0"
"344","174","0","0","0","0","0","0","0","0","0"
"346","174","0","0","0","0","0","0","0","0","0"
"348","173","0","0","0","0","0","0","0","0","0"
"350","173","0","0","0","0","0","0","0","0","0"
"352","173","0","0","0","0","0","0","0","0","0"
"354","174","0","0","0","0","0","0","0","0","0"
"356","176","0","0","0","0","0","0","0","0","0"
"358","176","0","0","0","0","0","0","0","0","0"
"360","176","0","0","0","0","0","0","0","0","0"
"362","176","0","0","0","0","0","0","0","0","0"
"364","176","0","0","0","0","0","0","0","0","0"
"366","176","0","0","0","0","0","0","0","0","0"
"368","176","0","0","0","0","0","0","0","0","0"
"370","176","0","0","0","0","0","0","0","0","0"
"372","177","0","0","0","0","0","0","0","0","0"
"374","177","0","0","0","0","0","0","0","0","0"
"376","179","0","0","0","0","0","0","0","0","0"
"378","179","0","0","0","0","0","0","0","0","0"
"380","177","0","0","0","0","0","0","0","0","0"
"382","179","0","0","0","0","0","0","0","0","0"
"384","179","0","0","0","0","0","0","0","0","0"
"386","179","0","0","0","0","0","0","0","0","0"
"388","179","0","0","0","0","0","0","0","0","0"
"390","179","0","0","0","0","0","0","0","0","0"
"392","177","0","0","0","0","0","0","0","0","0"
"394","176","0","0","0","0","0","0","0","0","0"
"396","176","0","0","0","0","0","0","0","0","0"
"398","176","0","0","0","0","0","0","0","0","0"
"400","174","0","0","0","0","0","0","0","0","0"
"402","173","0","0","0","0","0","0","0","0","0"
"404","172","0","0","0","0","0","0","0","0","0"
"406","173","0","0","0","0","0","0","0","0","0"
"408","173","0","0","0","0","0","0","0","0","0"
"410","171","0","0","0","0","0","0","0","0","0"
"412","170","0","0","0","0","0","0","0","0","0"
"414","170","0","0","0","0","0","0","0","0","0"
"416","170","0","0","0","0","0","0","0","0","0"
"418","170","0","0","0","0","0","0","0","0","0"
"420","169","0","0","0","0","0","0","0","0","0"
"422","169","0","0","0","0","0","0","0","0","0"
"424","169","0","0","0","0","0","0","0","0","0"
"426","169","0","0","0","0","0","0","0","0","0"
"428","169","0","0","0","0","0","0","0","0","0"
"430","169","0","0","0","0","0","0","0","0","0"
"432","169","0","0","0","0","0","0","0","0","0"
"434","169","0","0","0","0","0","0","0","0","0"
"436","169","0","0","0","0","0","0","0","0","0"
"438","169","0","0","0","0","0","0","0","0","0"
"440","169","0","0","0","0","0","0","0","0","0"
"442","169","0","0","0","0","0","0","0","0","0"
"444","167","0","0","0","0","0","0","0","0","0"
"446","167","0","0","0","0","0","0","0","0","0"
"448","170","0","0","0","0","0","0","0","0","0"
"450","172","0","0","0","0","0","0","0","0","0"
"452","172","0","0","0","0","0","0","0","0","0"
"454","172","0","0","0","0","0","0","0","0","0"
"456","170","0","0","0","0","0","0","0","0","0"
"458","169","0","0","0","0","0","0","0","0","0"
"460","167","0","0","0","0","0","0","0","0","0"
"462","167","0","0","0","0","0","0","0","0","0"
"464","167","0","0","0","0","0","0","0","0","0"
"466","169","0","0","0","0","0","0","0","0","0"
"468","169","0","0","0","0","0","0","0","0","0"
"470","169","0","0","0","0","0","0","0","0","0"
"472","170","0","0","0","0","0","0","0","0","0"
"474","170","0","0","0","0","0","0","0","0","0"
"476","170","0","0","0","0","0","0","0","0","0"
"478","170","0","0","0","0","0","0","0","0","0"
