[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/3/2005 2:45:06 PM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=11.2
duration=5326
description=Sample Workout - Heart Rate and Speed & Distance
sessionType=20
maxHR=179
maxSpeed=15.8
avgHR=153
avgSpeed=7.34
fromDataRecorder=True
TimeZone1=240
TimeZone2=360
TimeZone3=1080
TimeZone4=1620
TimeZone5=2040

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
750,145,0,0,0
752,145,0,0,0
754,146,0,0,0
756,144,0,0,0
758,144,0,0,0
760,144,0,0,0
762,144,0,0,0
764,145,0,0,0
766,145,0,0,0
768,145,0,0,0
770,145,0,0,0
772,145,0,0,0
774,144,0,0,0
776,144,0,0,0
778,144,0,0,0
780,144,0,0,0
782,144,0,0,0
784,144,0,0,0
786,148,0,0,0
788,148,0,0,0
790,146,0,0,0
792,146,0,0,0
794,146,0,0,0
796,146,0,0,0
798,146,0,0,0
800,146,0,0,0
802,146,0,0,0
804,146,0,0,0
806,146,0,0,0
808,146,0,0,0
810,146,0,0,0
812,144,0,0,0
814,144,0,0,0
816,144,0,0,0
818,144,0,0,0
820,144,0,0,0
822,148,0,0,0
824,148,0,0,0
826,148,0,0,0
828,148,0,0,0
830,148,0,0,0
832,148,0,0,0
834,148,0,0,0
836,148,0,0,0
838,148,0,0,0
840,148,0,0,0
842,148,0,0,0
844,148,0,0,0
846,148,0,0,0
848,144,0,0,0
850,143,0,0,0
852,143,0,0,0
854,143,0,0,0
856,143,0,0,0
858,143,0,0,0
860,142,0,0,0
862,140,0,0,0
864,140,0,0,0
866,140,0,0,0
868,140,0,0,0
870,140,0,0,0
872,142,0,0,0
874,142,0,0,0
876,142,0,0,0
878,142,0,0,0
880,142,0,0,0
882,142,0,0,0
884,142,0,0,0
886,142,0,0,0
888,142,0,0,0
890,142,0,0,0
892,142,0,0,0
894,143,0,0,0
896,144,0,0,0
898,144,0,0,0
900,144,0,0,0
902,144,0,0,0
904,144,0,0,0
906,146,0,0,0
908,146,0,0,0
910,146,0,0,0
912,148,0,0,0
914,148,0,0,0
916,148,0,0,0
918,148,0,0,0
920,148,0,0,0
922,149,0,0,0
924,149,0,0,0
926,149,0,0,0
928,148,0,0,0
930,146,0,0,0
932,146,0,0,0
934,146,0,0,0
936,146,0,0,0
938,149,0,0,0
940,149,0,0,0
942,149,0,0,0
944,149,0,0,0
946,149,0,0,0
948,149,0,0,0
950,149,0,0,0
952,145,0,0,0
954,145,0,0,0
956,145,0,0,0
958,143,0,0,0
960,143,0,0,0
962,143,0,0,0
964,143,0,0,0
966,144,0,0,0
968,144,0,0,0
970,144,0,0,0
972,144,0,0,0
974,144,0,0,0
976,144,0,0,0
978,144,0,0,0
980,144,0,0,0
982,144,0,0,0
984,144,0,0,0
986,136,0,0,0
988,135,0,0,0
990,135,0,0,0
992,135,0,0,0
994,135,0,0,0
996,139,0,0,0
998,140,0,0,0
1000,139,0,0,0
1002,139,0,0,0
1004,139,0,0,0
1006,139,0,0,0
1008,139,0,0,0
1010,139,0,0,0
1012,144,0,0,0
1014,144,0,0,0
1016,144,0,0,0
1018,144,0,0,0
1020,144,0,0,0
1022,144,0,0,0
1024,144,0,0,0
1026,144,0,0,0
1028,144,0,0,0
1030,144,0,0,0
1032,146,0,0,0
1034,146,0,0,0
1036,146,0,0,0
1038,146,0,0,0
1040,146,0,0,0
1042,146,0,0,0
1044,149,0,0,0
1046,149,0,0,0
1048,146,0,0,0
1050,146,0,0,0
1052,146,0,0,0
1054,146,0,0,0
1056,146,0,0,0
1058,146,0,0,0
1060,146,0,0,0
1062,146,0,0,0
1064,146,0,0,0
1066,146,0,0,0
1068,143,0,0,0
1070,143,0,0,0
1072,143,0,0,0
1074,143,0,0,0
1076,143,0,0,0
1078,143,0,0,0
1080,143,0,0,0
1082,143,0,0,0
1084,143,0,0,0
1086,143,0,0,0
1088,143,0,0,0
1090,143,0,0,0
1092,143,0,0,0
1094,143,0,0,0
1096,143,0,0,0
1098,144,0,0,0
1100,143,0,0,0
1102,143,0,0,0
1104,143,0,0,0
1106,143,0,0,0
1108,143,0,0,0
1110,143,0,0,0
1112,143,0,0,0
1114,143,0,0,0
1116,148,0,0,0
1118,148,0,0,0
1120,148,0,0,0
1122,149,0,0,0
1124,150,0,0,0
1126,150,0,0,0
1128,150,0,0,0
1130,150,0,0,0
1132,149,0,0,0
1134,149,0,0,0
1136,149,0,0,0
1138,149,0,0,0
1140,152,0,0,0
1142,150,0,0,0
1144,150,0,0,0
1146,150,0,0,0
1148,150,0,0,0
1150,150,0,0,0
1152,150,0,0,0
1154,148,0,0,0
1156,148,0,0,0
1158,148,0,0,0
1160,148,0,0,0
1162,148,0,0,0
1164,146,0,0,0
1166,149,0,0,0
1168,149,0,0,0
1170,149,0,0,0
1172,148,0,0,0
1174,148,0,0,0
1176,148,0,0,0
1178,150,0,0,0
1180,149,0,0,0
1182,149,0,0,0
1184,149,0,0,0
1186,149,0,0,0
1188,149,0,0,0
1190,149,0,0,0
1192,150,0,0,0
1194,150,0,0,0
