[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/1/2005 9:27:26 AM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=0
duration=3298
description=Sample Workout - Heart Rate Only
sessionType=0
maxHR=111
maxSpeed=0
avgHR=81
avgSpeed=0
fromDataRecorder=True
TimeZone1=2940
TimeZone2=360
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
1230,74,0,0,0
1232,72,0,0,0
1234,73,0,0,0
1236,76,0,0,0
1238,74,0,0,0
1240,70,0,0,0
1242,68,0,0,0
1244,71,0,0,0
1246,77,0,0,0
1248,77,0,0,0
1250,80,0,0,0
1252,80,0,0,0
1254,80,0,0,0
1256,80,0,0,0
1258,79,0,0,0
1260,78,0,0,0
1262,80,0,0,0
1264,80,0,0,0
1266,84,0,0,0
1268,87,0,0,0
1270,88,0,0,0
1272,89,0,0,0
1274,89,0,0,0
1276,86,0,0,0
1278,86,0,0,0
1280,89,0,0,0
1282,90,0,0,0
1284,89,0,0,0
1286,88,0,0,0
1288,86,0,0,0
1290,84,0,0,0
1292,81,0,0,0
1294,80,0,0,0
1296,80,0,0,0
1298,78,0,0,0
1300,80,0,0,0
1302,85,0,0,0
1304,87,0,0,0
1306,85,0,0,0
1308,78,0,0,0
1310,78,0,0,0
1312,78,0,0,0
1314,74,0,0,0
1316,73,0,0,0
1318,73,0,0,0
1320,77,0,0,0
1322,74,0,0,0
1324,68,0,0,0
1326,69,0,0,0
1328,70,0,0,0
1330,73,0,0,0
1332,73,0,0,0
1334,73,0,0,0
1336,77,0,0,0
1338,73,0,0,0
1340,69,0,0,0
1342,69,0,0,0
1344,71,0,0,0
1346,74,0,0,0
1348,71,0,0,0
1350,70,0,0,0
1352,71,0,0,0
1354,70,0,0,0
1356,78,0,0,0
1358,80,0,0,0
1360,81,0,0,0
1362,77,0,0,0
1364,73,0,0,0
1366,73,0,0,0
1368,74,0,0,0
1370,73,0,0,0
1372,73,0,0,0
1374,72,0,0,0
1376,74,0,0,0
1378,73,0,0,0
1380,76,0,0,0
1382,76,0,0,0
1384,77,0,0,0
1386,76,0,0,0
1388,77,0,0,0
1390,79,0,0,0
1392,81,0,0,0
1394,84,0,0,0
1396,84,0,0,0
1398,84,0,0,0
1400,81,0,0,0
1402,79,0,0,0
1404,74,0,0,0
1406,73,0,0,0
1408,73,0,0,0
1410,81,0,0,0
1412,80,0,0,0
1414,80,0,0,0
1416,81,0,0,0
1418,79,0,0,0
1420,74,0,0,0
1422,74,0,0,0
1424,76,0,0,0
1426,81,0,0,0
1428,84,0,0,0
1430,86,0,0,0
1432,89,0,0,0
1434,89,0,0,0
1436,87,0,0,0
1438,82,0,0,0
