[Timex Trainer Data File]
[session data]
version=1.0
Sessiondate=1/2/2005 8:27:02 PM
sportName=Running
sportID=3
distanceunit=mi
avgspeedunit=0
maxspeedunit=0
avgpaceunits=0
maxpaceunits=0
distance=5.21
duration=2580
description=Sample Workout - Speed & Distance Only
sessionType=1
maxHR=0
maxSpeed=18.1
avgHR=0
avgSpeed=6.9
fromDataRecorder=True
TimeZone1=0
TimeZone2=0
TimeZone3=0
TimeZone4=0
TimeZone5=0

[recorded]
duration(s),hr,speed(mph),distance(mi),data_flag
1210.23,0,4,2.41,1
1213.8,0,4.4,2.414,1
1217.37,0,4.1,2.419,1
1220.94,0,4.1,2.423,1
1228.08,0,14.4,2.436,1
1231.65,0,14.4,2.449,1
1235.22,0,11.7,2.46,1
1238.79,0,12.8,2.471,1
1242.36,0,12.5,2.484,1
1245.93,0,12.9,2.498,1
1249.5,0,12.7,2.511,1
1253.07,0,12.7,2.524,1
1256.64,0,12.3,2.538,1
1260.21,0,11.1,2.55,1
1263.78,0,4.5,2.558,1
1267.35,0,4.3,2.563,1
1270.92,0,4,2.567,1
1274.49,0,3.9,2.571,1
1278.06,0,3.8,2.575,1
1281.63,0,3.9,2.579,1
1285.2,0,4.7,2.583,1
1288.77,0,6,2.589,1
1292.34,0,6.3,2.596,1
1295.91,0,6.3,2.602,1
1299.48,0,5.8,2.608,1
1303.05,0,4.5,2.614,1
1306.62,0,1.4,2.616,1
1310.19,0,0,2.616,1
1313.76,0,0,2.617,1
1317.33,0,1.4,2.618,1
1320.9,0,13.6,2.621,1
1324.47,0,12.8,2.635,1
1328.04,0,13.2,2.649,1
1331.61,0,12.6,2.661,1
1335.18,0,12.7,2.673,1
1338.75,0,12.7,2.685,1
1342.32,0,13.7,2.699,1
1345.89,0,12.5,2.712,1
1349.46,0,11.5,2.723,1
1353.03,0,3.9,2.729,1
1356.6,0,4.1,2.733,1
1360.17,0,4,2.737,1
1363.74,0,4.5,2.741,1
1367.31,0,4.3,2.746,1
1370.88,0,4.4,2.75,1
1374.45,0,4.3,2.755,1
1378.02,0,4.2,2.759,1
1381.59,0,4.6,2.764,1
1385.16,0,4,2.769,1
1388.73,0,4.1,2.774,1
1392.3,0,4.1,2.778,1
1395.87,0,3.9,2.782,1
1399.44,0,3.9,2.786,1
1403.01,0,4,2.79,1
1406.58,0,4,2.794,1
1410.15,0,4,2.798,1
1413.72,0,4,2.802,1
1417.29,0,4,2.806,1
1420.86,0,4,2.81,1
1424.43,0,12.1,2.818,1
1428,0,12.1,2.829,1
1431.57,0,11.8,2.842,1
1435.14,0,12.1,2.863,1
1438.71,0,11.9,2.868,1
1442.28,0,5,2.872,1
1445.85,0,4.1,2.873,1
1449.42,0,3.7,2.877,1
1452.99,0,3.6,2.88,1
1456.56,0,3.4,2.883,1
1460.13,0,3.4,2.887,1
1463.7,0,3.5,2.89,1
1467.27,0,3.8,2.894,1
1470.84,0,4.4,2.898,1
1474.41,0,4.5,2.902,1
1477.98,0,4.5,2.907,1
1481.55,0,4.5,2.911,1
1485.12,0,4.8,2.916,1
1488.69,0,4.3,2.921,1
1492.26,0,3,2.924,1
1495.83,0,9.5,2.934,1
1499.4,0,12.8,2.947,1
1502.97,0,12.7,2.959,1
1506.54,0,12.1,2.971,1
1510.11,0,7.9,2.98,1
1513.68,0,12.3,2.991,1
1517.25,0,11.4,3.003,1
1520.82,0,11.4,3.015,1
1524.39,0,10.8,3.026,1
1527.96,0,10.8,3.037,1
1531.53,0,7.8,3.046,1
1535.1,0,4.6,3.054,1
1538.67,0,4.4,3.06,1
1542.24,0,4,3.065,1
1545.81,0,3.8,3.069,1
1549.38,0,3.3,3.074,1
1552.95,0,3.8,3.078,1
1556.52,0,4.2,3.083,1
1560.09,0,4.1,3.087,1
1563.66,0,3.7,3.091,1
1567.23,0,3.8,3.095,1
1570.8,0,4.4,3.099,1
1574.37,0,4.7,3.104,1
1577.94,0,4.5,3.108,1
1581.51,0,4.2,3.113,1
